0,8:26:29,26:37:30,17.385590378738556
1,3:50:4,54:48:54,19.152979182305767
2,7:18:1,15:40:19,42.054924011230455
3,7:32:37,17:54:30,77.32590417016911
4,5:32:57,28:15:3,40.55886119120832
5,5:49:37,39:56:0,36.76847104328432
6,7:34:58,69:6:5,16.70507453469673
7,10:6:20,22:20:8,18.79355445359021
8,11:19:18,-10:-51:-38,15.972783803939825
9,14:49:2,55:25:28,17.929298593712677
10,19:42:2,-31:-40:-44,36.5875706198989
11,18:1:31,-4:-47:-35,119.84183016690328
12,18:20:58,-5:-33:-57,85.28620910644531
13,17:59:9,56:4:47,33.27422550746372
14,19:3:35,0:50:39,241.6480418024837
15,19:12:14,0:-33:-26,112.72710242638253
16,19:14:15,-5:-35:-35,87.18064797949995
17,19:29:32,16:13:37,176.45422224564982
18,20:54:43,33:54:26,129.21490832737487
19,19:46:41,35:37:47,137.76843820753163
20,20:6:42,40:22:54,132.28815678187786
21,21:50:28,24:58:10,14.694938427328019
22,21:43:33,34:10:20,92.46691640218098
23,20:49:52,50:11:20,19.193313694435712
24,22:44:3,16:39:9,37.2024345397949
25,22:45:20,24:3:24,22.564083671569875
26,22:45:9,39:10:18,67.22200051000563
27,0:26:55,6:14:16,30.7324447631836
28,22:27:39,55:32:11,164.06041608537944
29,20:5:33,61:21:14,37.0676426887512
30,21:45:8,57:41:13,149.51550172747991
31,22:5:31,58:55:38,94.06926355507169
32,23:50:0,42:5:5,17.50702667236331
33,1:9:28,15:56:26,21.590069480564274
34,21:32:7,60:12:45,196.82385896381564
35,21:59:11,59:24:39,60.494391632080095
36,21:59:5,59:39:27,115.07336244129034
37,23:45:55,56:8:24,92.68258209228516
38,22:43:46,61:17:13,71.1698684692383
39,1:39:23,33:31:37,21.13529510498045
40,0:20:2,58:16:19,33.96743774414059
41,21:42:52,54:56:15,21.02746292396829
42,2:27:18,50:38:11,31.541193008422894
43,2:53:8,51:34:57,21.330742597579928
44,3:45:24,46:13:37,140.38308912707922
45,4:42:40,47:35:51,43.26804709434512
46,5:55:3,60:12:53,94.35399373372395
47,5:45:3,42:40:39,16.839299542563325
48,8:15:37,59:49:45,35.00725691659106
49,10:12:29,54:24:9,31.379443073272693
50,11:41:37,55:26:20,18.713196827815143
51,8:44:23,50:48:35,31.154400369395415
52,9:10:22,51:44:5,21.539328321625902
53,9:13:11,50:23:46,33.5630645751953
54,17:45:59,55:15:43,15.198895191324159
55,16:22:44,54:22:1,31.53416016620138
56,12:2:30,42:47:17,17.08807366894139
57,16:46:19,49:21:12,36.71273306750375
58,16:55:9,26:37:44,41.02560806274418
59,18:6:25,40:20:22,43.02890039259389
60,18:25:29,-1:-42:0,63.0823860168457
61,19:12:54,4:22:32,108.0353266398111
62,19:26:41,0:-55:-52,84.79279047648114
63,19:16:52,19:37:46,150.05961608886727
64,21:52:1,10:1:49,16.734873258150564
65,21:43:4,48:53:37,166.00627537777535
66,3:38:33,49:15:41,35.81063346820546
67,15:11:16,49:20:50,20.128852420383033
68,21:53:21,44:56:59,144.3403348420796
69,19:29:59,16:31:18,158.27576368505297
70,4:52:18,17:13:26,17.145468521118197
71,9:15:55,4:13:41,14.647335052490199
72,8:54:4,54:49:32,17.64324174092278
73,22:40:20,60:27:50,185.87852221540592
74,22:50:8,15:6:12,30.732444763183604
75,21:37:51,58:31:10,162.39670817057305
76,6:14:22,22:18:3,99.59160723005051
77,6:24:29,11:13:18,86.69784240722656
78,6:59:50,13:30:26,14.5574741363525
79,19:1:15,2:52:47,179.16158878102044
80,19:46:41,18:3:6,17.680232666949866
81,20:33:36,0:33:57,35.794019455969625
82,9:40:57,41:10:58,21.706411149766716
83,21:22:45,14:5:5,30.732444763183597
84,0:12:25,54:37:43,136.40891689724378
85,5:2:11,12:52:44,15.195959643313747
86,7:11:54,24:41:51,40.437427520752
87,9:9:34,30:8:3,41.85273694992068
88,16:40:1,66:11:48,21.192512667908936
89,20:3:13,0:-41:-34,36.52138218126797
90,23:24:18,-5:-51:-37,16.579345120324028
91,3:37:4,68:27:29,17.445861271449523
92,4:18:9,25:55:41,19.583467740913584
93,5:59:12,21:35:23,20.488296190897618
94,19:42:11,-29:-58:-53,36.74438161051458
95,17:39:59,48:17:44,30.822305679321296
96,20:23:59,48:50:31,98.37295715446557
97,22:35:24,12:53:33,36.483545515272326
98,21:13:9,48:56:31,139.91306293874567
99,21:29:25,41:27:17,34.530566151936824
100,21:57:41,49:13:53,69.0132064819336
101,22:7:56,55:3:1,105.20410069127199
102,23:47:23,42:34:48,17.463913321495085
103,5:43:0,49:18:48,77.84204578399657
104,0:49:18,66:55:16,15.651662938735072
105,8:28:17,49:23:3,19.719809875859838
106,15:55:26,0:40:45,17.38149521345306
107,16:18:2,-8:-44:-8,60.92572402954102
108,11:14:24,-9:-12:-45,15.629309252084028
109,0:39:10,54:14:41,73.52639908626162
110,17:58:4,44:52:11,34.790890502929656
111,2:20:37,36:19:41,46.34751085134653
112,19:53:32,39:9:16,31.271610260009766
113,22:41:53,63:42:45,92.4399582862854
114,16:26:17,-29:-53:-44,36.798059599740135
115,19:44:58,12:14:22,96.17286976274238
116,10:6:16,30:15:51,17.37868938889617
117,16:34:56,44:50:20,21.92607148488364
118,16:44:51,-3:-24:-43,34.122066493004354
119,20:17:29,28:44:45,20.73264727099186
120,19:33:5,25:43:45,53.37740325927732
121,22:1:54,50:46:20,73.44634896737556
122,8:32:46,76:12:3,21.0274620056152
123,0:0:0,0:0:0,31.541193246841413
124,21:39:19,34:56:25,93.17763357451467
