Name,RA (J2000),DEC (J2000),DM
J1845-0028g ,18:45:39 ,-00:28 ,301.0	
J1901+0020g ,19:01:17 ,+00:20 ,237.6
J1908+1035g ,19:08:23 ,+10:35 ,10.9
J1925+1532g ,19:25:00 ,+15:32 ,145.9
J1849+0225g ,18:49:14 ,+02:25 ,259.9	
J1854+0131g ,18:54:34 ,+01:31 ,474.9	
J2030+3943g ,20:30:15 ,+39:43 ,937.4	
J1849-0019g ,18:49:15 ,-00:19 ,513.2	
J1909+0400g ,19:09:58 ,+04:00 ,37.3	
J1905+0655g ,19:05:48 ,+06:55 ,50.3																																																																																																																																																																																																																																																																																													
